Winter-Olympics-2022 Biathlon Alpine-Skiing Free-Style-Skiing
Biathlon Mens-20km-Individual Mens-10km-Sprint Mens-15km-Mass-Start
Alpine-Skiing Womens-Alpine-Combined Womens-Downhill Womens-Super-G
Free-Style-Skiing Mens-Aerials Mens-Freeski-Big-Air Womens-Freeski-Halfpipe
Mens-20km-Individual Quentin-Fillon-Maillet:France Anton-Smolski:Belarus Johannes-Thingnes-Boe:Norway 
Mens-10km-Sprint Johannes-Thingnes-Boe:Norway Quentin-Fillon-Maillet:France Tarjei-Boe:Norway 
Mens-15km-Mass-Start Johannes-Thingnes-Boe:Norway Martin-Ponsiluoma:Sweden Vetle-Sjaastad-Christiansen:Norway 
Womens-Alpine-Combined Michelle-Gisin:Switzerland Wendy-Holdener:Switzerland Federica-Brignone:Italy 
Womens-Downhill Corinne-Suter:Switzerland Sofia-Goggia:Italy Nadia-Delago:Italy 
Womens-Super-G Lara-Gut-Behrami:Switzerland Mirjam-Puchner:Austria Michelle-Gisin:Switzerland 
Mens-Aerials Guangpu-Qi:China Oleksandr-Abramenko:Ukraine Ilia-Burov:Taiwan
Mens-Freeski-Big-Air Birk-Ruud:Norway Colby-Stevenson:United-States-of-America Henrik-Harlaut:Sweden 
Womens-Freeski-Halfpipe Ailing-Eileen-Gu:China Cassie-Sharpe:Canada Rachel-Karker:Canada
